Date;Return_incD;Return_excD
19271219;0.003162;0.003162
19271220;0.001287;0.00121
19271221;-0.002256;-0.002574
19271222;0.00077;0.00077
19271223;0.002795;0.002564
19271224;0.00173;0.00173
19271227;0.001453;0.001133
19271228;-0.006989;-0.006989
19271229;0.003178;0.003178
19271230;0.00299;0.002113
19271231;0.003349;0.003349
19280103;0.002589;0.002431
19280104;-0.001863;-0.001863
19280105;-0.008703;-0.008703
19280106;0.0065;0.006314
19280107;0.001111;0.001111
19280109;-0.009861;-0.009861
19280110;-0.007715;-0.007742
19280111;-0.000334;-0.00052
19280112;0.006297;0.006235
19280113;0.006997;0.006563
19280114;-0.007411;-0.007411
19280116;-0.008496;-0.008758
19280117;0.001207;0.001207
19280118;-0.002777;-0.002777
19280119;0.006278;0.006278
19280120;0.005128;0.004897
19280121;0.002567;0.002567
19280123;0.006487;0.006487
19280124;0.003615;0.003448
19280125;-0.010756;-0.010756
19280126;0.00581;0.00581
19280127;0.003125;0.00287
19280128;-0.006219;-0.006219
19280130;-0.004341;-0.004341
19280131;0.003957;0.003867
19280201;-0.002538;-0.002938
19280202;0.005391;0.005391
19280203;-0.011881;-0.01192
19280204;0.001481;0.001481
19280206;0.000762;0.000523
19280207;-0.00147;-0.00147
19280208;0.002431;0.002431
19280209;0.003923;0.003741
19280210;-0.000109;-0.000426
19280211;0.000712;0.000712
19280214;-0.005107;-0.005129
19280215;-0.00156;-0.001929
19280216;-0.002245;-0.002266
19280217;-0.01574;-0.016709
19280218;-0.002709;-0.002709
19280220;-0.002426;-0.002494
19280221;0.009614;0.009614
19280223;0.00151;0.00151
19280224;0.003724;0.003061
19280225;0.001134;0.001134
19280227;-0.00507;-0.005097
19280228;0.00273;0.00273
19280229;0.005276;0.004406
19280301;0.003081;0.002541
19280302;0.001216;0.000254
19280303;0.006084;0.006084
19280305;0.007974;0.007974
19280306;0.004375;0.004375
19280307;-0.004706;-0.004706
19280308;0.003132;0.002847
19280309;0.015632;0.015519
19280310;-0.003012;-0.003012
19280312;0.006781;0.006772
19280313;-0.003742;-0.003954
19280314;0.001253;0.001253
19280315;0.007998;0.007831
19280316;0.012781;0.012521
19280317;0.002768;0.002768
19280319;0.000998;0.000998
19280320;0.005222;0.005056
19280321;0.008845;0.008845
19280322;-0.002086;-0.002086
19280323;0.00892;0.008455
19280324;0.001093;0.001093
19280326;0.012516;0.012449
19280327;-0.0054;-0.0054
19280328;-0.00224;-0.00224
19280329;0.003076;0.003076
19280330;0.016508;0.015804
19280331;-0.007453;-0.007453
19280402;-0.010672;-0.010903
19280403;0.006986;0.00681
19280404;-0.001045;-0.001045
19280405;0.011899;0.011796
19280409;0.001368;0.001368
19280410;-0.007984;-0.008024
19280411;0.016511;0.016442
19280412;-0.002479;-0.002535
19280413;0.015575;0.015182
19280414;-0.006404;-0.006404
